464;Chieftain;23
465;Roadmaster;23
466;Scoot;23
467;Scout;23
468;Springfield;23
469;Classic;24
470;Evomatic;24
471;Fire;24
472;Han;24
473;High-emission;24
474;JL125;24
475;Li On;24
476;Prince;24
477;Target;24
478;Wolf;24
479;Xia;24
480;JS125;25
481;JS125T;25
482;JS150;25
483;JS150T;25
484;R6 JS150;25
485;CRZ 150;26
486;Mirage 150;26
487;Prima 500;26
488;Prima Electra;26
489;Win Elektra;26
490;1400GTR;27
491;250SL;27
492;Athlete;27
493;D-Tracker;27
494;D-Tracker 125;27
495;ER-6f;27
496;ER-6n;27
497;Estrella;27
498;J125;27
499;J300;27
500;Kaze;27
501;KLR 650;27
502;KLX 150L;27
503;KLX 150S;27
504;KLX125;27
505;KLX150C;27
506;KLX150D;27
507;KLX250;27
508;KLX450R;27
509;KSR 110;27
510;KX 250F;27
511;KX250F;27
512;KX450F;27
513;KX65;27
514;KX85;27
515;Ninja 1000;27
516;Ninja 150;27
517;Ninja 250;27
518;Ninja 250R;27
519;Ninja 300;27
520;Ninja 650;27
521;Ninja H2;27
522;Ninja ZX-10R;27
523;Ninja ZX-14R;27
524;Ninja ZX-6R;27
525;Pulsar;27
526;Versys;27
527;VN1700 Classic;27
528;VN1700 Classic Light;27
529;VN1700 Classic Tourer;27
530;VN2000 Classic;27
531;VN900 Classic;27
532;VN900 Classic Light;27
533;VN900 Light Tourer;27
534;Vulcan;27
535;Vulcan 1700;27
536;Vulcan 900;27
537;Vulcan S;27
538;W800;27
539;Z1000;27
540;Z1000SX;27
541;Z125;27
542;Z250;27
543;Z300;27
544;Z750;27
545;Z750 ABS;27
546;Z750 ABS Limited Edition;27
547;Z750 R ABS;27
548;Z750 R ABS Black Edition;27
549;Z750R;27
550;Z800;27
551;Z800e;27
552;ZX 130 VR;27
553;ZX14;27
554;ZZR1400;27
555;ARN;28
556;Blackster;28
557;BN302;28
558;BN600;28
559;City Blade;28
560;Cruiser;28
561;F-Act;28
562;Fact City;28
563;Hacker;28
564;Index;28
565;Link;28
566;Logik;28
567;Macis;28
568;Matrix;28
569;Outlook;28
570;RK;28
571;RKS;28
572;RKV;28
573;Silver blade;28
574;Silverblade;28
