800226;45;862;Burgman 400 ABS;-;SC
800227;45;862;Burgman 400Z ABS;-;SC
800228;45;863;Burgman 650Z;-;SC
800229;45;866;DR125SM;-;LB
800230;53;1168;YZF-R125;-;SB
800231;53;1168;YZF-R125 Race Replica;-;LB
800232;53;1167;YZF-R1;-;SB
800233;53;1172;YZF-R6;-;SB
800234;53;1139;XT1200Z Super Tenere ABS;-;EN
800235;53;1139;XT1200Z Super Tenere ABS First Edition;Y;EN
800236;53;1144;XT660X;-;EN
800237;53;1124;WR250X;-;EN
800238;53;1104;TDM900;-;AL
800239;53;1135;XJR1300;-;NK
800240;53;1058;FJR1300A;-;TB
800241;53;1058;FJR1300AS;-;TB
800242;53;1132;XJ6 ABS;-;NK
800243;53;1132;XJ6 ABS;-;NK
800244;53;1133;XJ6 Diversion;-;AL
800245;53;1133;XJ6 Diversion ABS;-;NK
800246;53;1134;XJ6 Diversion F ABS;-;TB
800247;53;1079;MT-01;-;NK
800248;53;1080;MT-03;-;NK
800249;53;1062;FZ6 S2 ABS;-;NK
800250;53;1063;FZ6 Fazer S2 ABS;-;AL
800251;53;1060;FZ1 ABS;-;NK
800252;53;1060;FZ1 Fazer ABS;-;AL
800253;53;1154;XVS950A Midnight Star;-;CU
800254;53;1152;XVS1300A Midnight Star;-;CU
800255;53;1149;XV1900A Midnight Star;-;CU
800256;53;1118;VMAX;-;SB
800257;45;886;GSX650F ABS;-;TB
800258;45;885;GSX1250F ABS;-;TB
800259;45;876;GSR600 ABS;-;AL
800260;45;870;Gladius 650 ABS;-;NK
800261;45;856;Bandit 650;-;NK
800262;45;856;Bandit 650S ABS;-;AL
800263;45;855;Bandit 1250 ABS;-;NK
800264;45;855;Bandit 1250S ABS;-;AL
800265;45;854;B-King;-;NK
800266;45;881;GSX-R600;-;SB
800267;45;882;GSX-R750;-;SB
800268;45;921;V-Strom 650 ABS;-;EN
800269;45;897;Intruder C800;-;CU
800270;45;897;Intruder C800C;-;CU
800271;45;900;Intruder M800;-;CU
800272;45;898;Intruder M1500;-;CU
800273;45;899;Intruder M1800R;-;CU
800274;45;899;Intruder M1800RZ;-;CU
800275;45;896;Intruder C1800R Touring;-;CU
800276;53;1065;FZ8 ABS;-;NK
800277;53;1066;FZ8 Fazer ABS;-;AL
800278;4;91;K 1300 GT;-;TB
800279;4;91;K 1300 GT Safety-Paket;-;TB
800280;4;91;K 1300 GT Comfort-Paket;-;TB
800281;4;91;K 1300 GT Touring-Paket;-;TB
800282;4;91;K 1300 GT Premium-Touring-Paket;-;TB
800283;27;536;Vulcan 900 Classic;-;CU
800284;27;536;Vulcan 900 Custom;-;CU
800285;27;530;VN2000 Classic;-;CU
800286;27;535;Vulcan 1700 Classic;-;CU
800287;27;535;VN1700 Classic Tourer;-;CU
800288;27;535;Vulcan 1700 Voyager;-;CU
800289;27;544;Z750 ABS;-;NK
800290;27;539;Z1000;-;NK
800291;27;496;ER-6n;-;NK
800292;27;495;ER-6f;-;SB
800293;27;554;ZZR1400;-;SB
800294;27;490;1400GTR;-;TB
800295;27;526;Versys 650;-;AL
800296;27;494;D-Tracker 125;-;LB
800297;27;504;KLX125;-;LB
800298;27;507;KLX250;-;EN
800299;4;102;S 1000 RR ABS Full Option;-;SB
800300;4;102;S 1000 RR;-;SB
800301;4;102;S 1000 RR ABS DTC;-;SB
800302;4;97;R 1200 R;-;NK
800303;4;97;R 1200 R Safety-Paket;-;NK
800304;4;97;R 1200 R Comfort-Paket;-;NK
800305;4;97;R 1200 R Touring-Paket;-;NK
800306;4;97;R 1200 R Paket Touring Spezial;Y;NK
800307;4;92;K 1300 R;-;NK
800308;4;92;K 1300 R Safety-Paket;-;NK
800309;4;92;K 1300 R Comfort-Paket;-;NK
800310;4;86;G 450 X;-;EN
800311;4;86;G 450 X 19kW;-;EN
800312;4;78;F 700 GS;-;AL
